Episode_x20,Average Reward
0,-204.33520281634762
1,-199.2371223725794
2,-153.47004306084187
3,-174.24004260731834
4,-125.96928437672707
5,-91.10636071803665
6,-96.11983690143032
7,-99.79556798071533
8,-59.84328818296247
9,-74.28181223971055
10,-38.9800724731058
11,-83.78611735945623
12,-38.01034115036629
13,-21.52227603096121
14,-9.797090448533234
15,19.385919408147185
16,53.840824821722414
17,53.240803514877925
18,79.02166274359463
19,5.146092282503407
20,27.848722350893105
21,22.725968045036012
22,23.88764216923153
23,58.49061701437593
24,105.09576849726412
25,62.431887182363766
26,31.67833981664362
27,54.63206162576559
28,68.98007161142607
29,15.052345114137584
30,10.653146142466985
31,80.18667102195236
32,70.0936047789468
33,44.37696586859031
34,90.11326503806656
35,91.51044234038459
36,64.27790324610069
37,90.9024749809601
38,41.86502744367978
39,64.18575529792967
40,86.55329857853769
41,85.21769190184679
42,83.7499183277271
43,52.24447699499009
44,92.68943756806203
45,48.81355756737497
46,77.40429618502407
47,69.78937096056265
48,93.4584723483737
